Convert Id,Lead ID,Company ID,Customer ID,Deal ID,Lead Creation Date,Converted Time,Converted By Id
zcrm_1920545000000592071,zcrm_1920545000000592049,zcrm_1920545000000592053,zcrm_1920545000000592055,zcrm_1920545000000592057,2017-02-07 19:23:11,2017-02-07 19:23:32,zcrm_1920545000000240001
zcrm_1920545000000592115,zcrm_1920545000000592093,zcrm_1920545000000592097,zcrm_1920545000000592099,zcrm_1920545000000592101,2017-02-07 19:39:05,2017-02-07 19:39:36,zcrm_1920545000000240001
zcrm_1920545000000610023,zcrm_1920545000000610001,zcrm_1920545000000610005,zcrm_1920545000000610007,zcrm_1920545000000610009,2017-02-16 18:42:59,2017-02-16 18:43:44,zcrm_1920545000000240001
zcrm_1920545000000610047,zcrm_1920545000000610025,zcrm_1920545000000610029,zcrm_1920545000000610031,zcrm_1920545000000610033,2017-02-16 20:36:51,2017-02-16 20:37:20,zcrm_1920545000000240001
zcrm_1920545000000610071,zcrm_1920545000000610049,zcrm_1920545000000610053,zcrm_1920545000000610055,zcrm_1920545000000610057,2017-02-16 21:06:37,2017-02-16 21:07:29,zcrm_1920545000000240001
zcrm_1920545000000631051,zcrm_1920545000000572069,zcrm_1920545000000631033,zcrm_1920545000000631035,zcrm_1920545000000631037,2017-01-24 16:04:41,2017-02-28 15:27:38,zcrm_1920545000000511027
zcrm_1920545000000693023,zcrm_1920545000000693001,zcrm_1920545000000693005,zcrm_1920545000000693007,zcrm_1920545000000693009,2017-03-22 23:02:02,2017-03-23 00:02:33,zcrm_1920545000000240001
zcrm_1920545000000693047,zcrm_1920545000000693025,zcrm_1920545000000693029,zcrm_1920545000000693031,zcrm_1920545000000693033,2017-03-22 23:07:35,2017-03-23 00:08:24,zcrm_1920545000000240001
zcrm_1920545000000693075,zcrm_1920545000000693053,zcrm_1920545000000693057,zcrm_1920545000000693059,zcrm_1920545000000693061,2017-03-22 23:14:37,2017-03-23 00:15:03,zcrm_1920545000000240001
zcrm_1920545000000693099,zcrm_1920545000000693077,zcrm_1920545000000693081,zcrm_1920545000000693083,zcrm_1920545000000693085,2017-03-22 23:21:32,2017-03-23 00:22:10,zcrm_1920545000000240001
zcrm_1920545000000693123,zcrm_1920545000000693101,zcrm_1920545000000693105,zcrm_1920545000000693107,zcrm_1920545000000693109,2017-03-22 23:36:33,2017-03-23 00:38:29,zcrm_1920545000000240001
zcrm_1920545000000693147,zcrm_1920545000000693125,zcrm_1920545000000693129,zcrm_1920545000000693131,zcrm_1920545000000693133,2017-03-22 23:56:10,2017-03-23 00:56:54,zcrm_1920545000000240001
